Date,Bus,HandiVan,Rail,Bus (Target),HandiVan (Target),Rail (Target)
2020,77,13,-,-,-,-
2021,97,7,18,-,-,-
2022,102,9,9,-,-,-
2023,93,13,28,-,-,-
2024,124,11,35,122,21,7
