Date,Bus,HandiVan,Rail,Bus (Target),HandiVan (Target),Rail (Target)
2020,0.4,0.196,-,-,-,-
2021,0.5,0.064,-,-,-,-
2022,0.5,0.151,-,-,-,-
2023,0.4,0.118,2.19,-,-,-
2024,0.7,0.116,1.34,0.5,0.155,1.03
