Date,Bus,HandiVan,Rail,Bus (Target),HandiVan (Target),Rail (Target)
2020,0,0,-,-,-,-
2021,0,0,-,-,-,-
2022,0,0,-,-,-,-
2023,0.55,0,0,-,-,-
2024,0.54,1.45,0,0,0,0
