Date,Bus,HandiVan,Rail,Bus (Target),HandiVan (Target),Rail (Target)
2020,0.44,0.232,-,-,-,-
2021,0.56,0.112,-,-,-,-
2022,0.59,0.136,-,-,-,-
2023,0.51,0.192,2.35,-,-,-
2024,0.67,0.16,1.46,0.56,0.196,1.8
